method,seed,step,test_loss,test_acc,in_noise
baseline,0,0,1.3690290451049805,0.3525390625,0
baseline,0,20,1.1013449430465698,0.4638671875,0
baseline,0,40,0.7197524309158325,0.751953125,0
baseline,0,60,0.4326358437538147,0.85888671875,0
baseline,0,80,0.3083253502845764,0.8916015625,0
baseline,0,100,0.26138579845428467,0.90576171875,0
baseline,0,120,0.2361251413822174,0.9111328125,0
baseline,0,140,0.2237815111875534,0.91357421875,0
baseline,0,160,0.2218831181526184,0.91162109375,0
baseline,0,180,0.21863172948360443,0.9111328125,0
baseline,0,200,0.2191421389579773,0.91455078125,0
baseline,0,220,0.21026036143302917,0.91845703125,0
baseline,0,240,0.20754587650299072,0.91796875,0
baseline,0,260,0.21115344762802124,0.9169921875,0
baseline,0,280,0.21629822254180908,0.9091796875,0
baseline,0,300,0.20515233278274536,0.923828125,0
baseline,0,320,0.21210262179374695,0.916015625,0
baseline,0,340,0.20740997791290283,0.91845703125,0
baseline,0,360,0.21580074727535248,0.9169921875,0
baseline,0,380,0.21542476117610931,0.916015625,0
baseline,0,400,0.21177172660827637,0.9189453125,0
baseline,0,420,0.21633432805538177,0.91796875,0
baseline,0,440,0.21097691357135773,0.92138671875,0
baseline,0,460,0.2202044129371643,0.92138671875,0
baseline,0,480,0.2260412573814392,0.91845703125,0
baseline,0,500,0.22778604924678802,0.91259765625,0
baseline,0,520,0.22699366509914398,0.9130859375,0
baseline,0,540,0.22567415237426758,0.9150390625,0
baseline,0,560,0.23273688554763794,0.9140625,0
baseline,0,580,0.23970596492290497,0.9111328125,0
baseline,0,600,0.23519167304039001,0.916015625,0
baseline,0,620,0.22739803791046143,0.9169921875,0
baseline,0,640,0.2367347776889801,0.91357421875,0
baseline,0,660,0.24587230384349823,0.91015625,0
baseline,0,680,0.24113577604293823,0.90966796875,0
baseline,0,700,0.24451807141304016,0.91259765625,0
baseline,0,720,0.24762506783008575,0.91357421875,0
baseline,0,740,0.25617343187332153,0.90478515625,0
baseline,0,760,0.2541089355945587,0.9130859375,0
baseline,0,780,0.25851649045944214,0.90966796875,0
baseline,0,800,0.26598483324050903,0.90478515625,0
baseline,0,820,0.258897602558136,0.90771484375,0
baseline,0,840,0.25551286339759827,0.9150390625,0
baseline,0,860,0.2680395245552063,0.91064453125,0
baseline,0,880,0.27030739188194275,0.9033203125,0
baseline,0,900,0.2734698951244354,0.90576171875,0
baseline,0,920,0.26587212085723877,0.91064453125,0
baseline,0,940,0.271998792886734,0.9091796875,0
baseline,0,960,0.295474112033844,0.9052734375,0
baseline,0,980,0.2809622585773468,0.9072265625,0
baseline,0,1000,0.28207939863204956,0.9140625,0
baseline,0,1020,0.28614166378974915,0.908203125,0
baseline,0,1040,0.2871970534324646,0.91357421875,0
baseline,0,1060,0.2990415692329407,0.908203125,0
baseline,0,1080,0.29392558336257935,0.9091796875,0
baseline,0,1100,0.29663321375846863,0.90625,0
baseline,0,1120,0.29949307441711426,0.9111328125,0
baseline,0,1140,0.30451321601867676,0.91064453125,0
baseline,0,1160,0.30603137612342834,0.91064453125,0
baseline,0,1180,0.3212762475013733,0.90380859375,0
baseline,0,1200,0.3093935251235962,0.90576171875,1
baseline,0,1220,1.0519193410873413,0.6298828125,1
baseline,0,1240,1.2149873971939087,0.5166015625,1
baseline,0,1260,1.161142110824585,0.64013671875,1
baseline,0,1280,1.1054906845092773,0.70947265625,1
baseline,0,1300,1.0521646738052368,0.7470703125,1
baseline,0,1320,1.0087168216705322,0.76025390625,1
baseline,0,1340,0.9847847819328308,0.791015625,1
baseline,0,1360,0.9822791814804077,0.81787109375,1
baseline,0,1380,0.9740148186683655,0.8173828125,1
baseline,0,1400,0.9495837688446045,0.826171875,1
baseline,0,1420,0.9318623542785645,0.8388671875,1
baseline,0,1440,0.9591704607009888,0.822265625,1
baseline,0,1460,0.9277234673500061,0.82080078125,1
baseline,0,1480,0.9483460783958435,0.857421875,1
baseline,0,1500,0.9384306073188782,0.84619140625,1
baseline,0,1520,0.9345683455467224,0.8388671875,1
baseline,0,1540,0.9343624114990234,0.84375,1
baseline,0,1560,0.9248285889625549,0.8447265625,1
baseline,0,1580,0.9039966464042664,0.84619140625,1
baseline,0,1600,0.9282983541488647,0.8525390625,1
baseline,0,1620,0.9091483950614929,0.845703125,1
baseline,0,1640,0.9135528206825256,0.85400390625,1
baseline,0,1660,0.9485661387443542,0.8515625,1
baseline,0,1680,0.9253657460212708,0.875,1
baseline,0,1700,0.9031922817230225,0.86962890625,0
baseline,0,1720,0.5628962516784668,0.826171875,0
baseline,0,1740,0.38696399331092834,0.876953125,0
baseline,0,1760,0.30548420548439026,0.900390625,0
baseline,0,1780,0.2667360305786133,0.90673828125,0
baseline,0,1800,0.24596118927001953,0.90869140625,0
baseline,0,1820,0.2317992001771927,0.90625,0
baseline,0,1840,0.22507357597351074,0.9130859375,0
baseline,0,1860,0.22273200750350952,0.90576171875,0
baseline,0,1880,0.21674694120883942,0.91455078125,0
baseline,0,1900,0.21831712126731873,0.90673828125,0
baseline,0,1920,0.2156456857919693,0.90869140625,0
baseline,0,1940,0.21411548554897308,0.9140625,0
baseline,0,1960,0.21702341735363007,0.9091796875,0
baseline,0,1980,0.21535632014274597,0.916015625,0
baseline,0,2000,0.21808315813541412,0.91015625,0
baseline,0,2020,0.22365203499794006,0.90576171875,0
baseline,0,2040,0.21920672059059143,0.91357421875,0
baseline,0,2060,0.2210005819797516,0.90966796875,0
baseline,0,2080,0.2262103110551834,0.91064453125,0
baseline,0,2100,0.22065074741840363,0.9150390625,0
baseline,0,2120,0.22503185272216797,0.912109375,0
baseline,0,2140,0.22202977538108826,0.9130859375,0
baseline,0,2160,0.22327135503292084,0.91015625,0
baseline,0,2180,0.22834369540214539,0.90869140625,0
baseline,0,2200,0.23020461201667786,0.9091796875,0
baseline,0,2220,0.23213571310043335,0.90869140625,0
baseline,0,2240,0.23641586303710938,0.9072265625,0
baseline,0,2260,0.23874954879283905,0.908203125,0
baseline,0,2280,0.23511356115341187,0.9091796875,0
baseline,0,2300,0.23781444132328033,0.9091796875,0
baseline,0,2320,0.24037732183933258,0.908203125,0
baseline,0,2340,0.2453223317861557,0.91357421875,0
baseline,0,2360,0.2451849728822708,0.91064453125,0
baseline,0,2380,0.24910710752010345,0.90673828125,0
baseline,0,2400,0.2459942251443863,0.908203125,0
baseline,0,2420,0.25030842423439026,0.90869140625,0
baseline,0,2440,0.2572261095046997,0.90966796875,0
baseline,0,2460,0.2543773949146271,0.90869140625,0
baseline,0,2480,0.2616375982761383,0.90234375,0
baseline,0,2500,0.2596542537212372,0.90771484375,0
baseline,0,2520,0.2608724534511566,0.90576171875,0
baseline,0,2540,0.26292312145233154,0.9111328125,0
baseline,0,2560,0.26678213477134705,0.90771484375,0
baseline,0,2580,0.27373647689819336,0.9072265625,0
baseline,0,2600,0.2663778066635132,0.9111328125,0
baseline,0,2620,0.2700076699256897,0.90966796875,0
baseline,0,2640,0.278827965259552,0.90771484375,0
baseline,0,2660,0.2806808650493622,0.9033203125,0
